date_key,full_date,day,day_name,week,month,month_name,quarter,year,weekend_flag,avg_temp_c,total_precip_mm,avg_wind_speed_kmph,avg_humidity,avg_visibility_km,avg_cloud_cover,avg_pressure_mb,weather_desc
20260730,2026-07-30,30,Thursday,31,7,July,3,2026,False,13.0,1.3,12.0,74.0,9.0,74.0,1016.0,Patchy rain possible
20260311,2026-03-11,11,Wednesday,11,3,March,1,2026,False,7.0,2.2,31.0,77.0,9.0,81.0,1000.0,Light rain shower
20260317,2026-03-17,17,Tuesday,12,3,March,1,2026,False,9.0,2.3,20.0,87.0,7.0,99.0,1002.0,Light rain
20250907,2025-09-07,7,Sunday,36,9,September,3,2025,True,14.0,5.2,19.0,88.0,8.0,84.0,1000.0,Moderate rain
20260104,2026-01-04,4,Sunday,1,1,January,1,2026,True,2.0,2.6,12.0,78.0,9.0,93.0,1018.0,Moderate or heavy snow showers
20260728,2026-07-28,28,Tuesday,31,7,July,3,2026,False,17.0,7.9,17.0,95.0,6.0,95.0,1012.0,Moderate or heavy rain shower
20250923,2025-09-23,23,Tuesday,39,9,September,3,2025,False,8.0,0.0,7.0,80.0,9.0,8.0,1030.0,Sunny
20251128,2025-11-28,28,Friday,48,11,November,4,2025,False,6.0,2.0,29.0,79.0,8.0,87.0,998.0,Light rain shower
20260114,2026-01-14,14,Wednesday,3,1,January,1,2026,False,2.0,5.2,14.0,93.0,7.0,84.0,1003.0,Light rain
20250825,2025-08-25,25,Monday,35,8,August,3,2025,False,17.0,0.8,17.0,78.0,8.0,45.0,1006.0,Light drizzle
20260324,2026-03-24,24,Tuesday,13,3,March,1,2026,False,6.0,11.5,25.0,86.0,9.0,91.0,1005.0,Light rain shower
20251016,2025-10-16,16,Thursday,42,10,October,4,2025,False,8.0,0.0,3.0,90.0,5.0,30.0,1028.0,Fog
20250819,2025-08-19,19,Tuesday,34,8,August,3,2025,False,17.0,0.0,8.0,80.0,8.0,51.0,1020.0,Mist
20260323,2026-03-23,23,Monday,13,3,March,1,2026,False,6.0,0.0,16.0,77.0,10.0,91.0,1016.0,Patchy rain possible
20260721,2026-07-21,21,Tuesday,30,7,July,3,2026,False,14.0,0.4,14.0,80.0,9.0,80.0,1032.0,Patchy rain possible
20251224,2025-12-24,24,Wednesday,52,12,December,4,2025,False,4.0,0.0,5.0,94.0,4.0,36.0,1037.0,Mist
20260812,2026-08-12,12,Wednesday,33,8,August,3,2026,False,19.0,0.0,11.0,76.0,10.0,59.0,1018.0,Overcast
20260727,2026-07-27,27,Monday,31,7,July,3,2026,False,15.0,3.6,11.0,88.0,8.0,97.0,1014.0,Patchy rain possible
20250912,2025-09-12,12,Friday,37,9,September,3,2025,False,11.0,11.5,17.0,90.0,8.0,83.0,1000.0,Light rain shower
20251001,2025-10-01,1,Wednesday,40,10,October,4,2025,False,15.0,6.9,19.0,90.0,9.0,100.0,1017.0,Light rain
20251121,2025-11-21,21,Friday,47,11,November,4,2025,False,2.0,3.7,11.0,84.0,9.0,80.0,1022.0,Light drizzle
20260118,2026-01-18,18,Sunday,3,1,January,1,2026,True,3.0,0.7,11.0,93.0,7.0,63.0,1012.0,Patchy rain possible
20251015,2025-10-15,15,Wednesday,42,10,October,4,2025,False,10.0,0.0,4.0,91.0,4.0,57.0,1031.0,Fog
20250919,2025-09-19,19,Friday,38,9,September,3,2025,False,12.0,0.3,10.0,87.0,9.0,81.0,1011.0,Patchy rain possible
20251123,2025-11-23,23,Sunday,47,11,November,4,2025,True,6.0,14.7,19.0,89.0,8.0,94.0,990.0,Moderate or heavy rain with thunder
20260802,2026-08-02,2,Sunday,31,8,August,3,2026,True,13.0,1.7,4.0,85.0,5.0,72.0,1018.0,Moderate rain at times
20260207,2026-02-07,7,Saturday,6,2,February,1,2026,True,5.0,6.2,11.0,97.0,6.0,100.0,993.0,Light rain
20251207,2025-12-07,7,Sunday,49,12,December,4,2025,True,8.0,24.1,18.0,91.0,8.0,80.0,991.0,Moderate rain
20250821,2025-08-21,21,Thursday,34,8,August,3,2025,False,14.0,0.0,4.0,81.0,7.0,45.0,1021.0,Patchy rain possible
20251005,2025-10-05,5,Sunday,40,10,October,4,2025,True,11.0,1.5,25.0,85.0,10.0,96.0,1015.0,Patchy rain possible
20260116,2026-01-16,16,Friday,3,1,January,1,2026,False,1.0,0.0,6.0,93.0,5.0,60.0,999.0,Mist
20260107,2026-01-07,7,Wednesday,2,1,January,1,2026,False,2.0,2.7,9.0,90.0,8.0,93.0,1006.0,Light snow
20251226,2025-12-26,26,Friday,52,12,December,4,2025,False,1.0,0.0,5.0,93.0,9.0,12.0,1037.0,Mist
20260319,2026-03-19,19,Thursday,12,3,March,1,2026,False,8.0,0.0,6.0,85.0,7.0,24.0,1028.0,Mist
20260403,2026-04-03,3,Friday,14,4,April,2,2026,False,6.0,4.9,19.0,89.0,8.0,89.0,1004.0,Heavy rain at times
20250924,2025-09-24,24,Wednesday,39,9,September,3,2025,False,9.0,0.0,8.0,84.0,7.0,32.0,1028.0,Mist
20260321,2026-03-21,21,Saturday,12,3,March,1,2026,True,7.0,0.0,7.0,76.0,10.0,11.0,1019.0,Sunny
20251010,2025-10-10,10,Friday,41,10,October,4,2025,False,11.0,0.0,8.0,84.0,9.0,63.0,1034.0,Patchy rain possible
20251228,2025-12-28,28,Sunday,52,12,December,4,2025,True,0.0,0.0,4.0,94.0,4.0,24.0,1037.0,Mist
20251115,2025-11-15,15,Saturday,46,11,November,4,2025,True,6.0,0.9,22.0,86.0,10.0,94.0,1016.0,Patchy rain possible
20251113,2025-11-13,13,Thursday,46,11,November,4,2025,False,6.0,22.2,19.0,92.0,8.0,93.0,1006.0,Light rain shower
20251002,2025-10-02,2,Thursday,40,10,October,4,2025,False,13.0,20.8,19.0,94.0,9.0,100.0,1009.0,Moderate rain
20251021,2025-10-21,21,Tuesday,43,10,October,4,2025,False,10.0,3.7,17.0,93.0,7.0,91.0,989.0,Light rain shower
20260111,2026-01-11,11,Sunday,2,1,January,1,2026,True,9.0,9.1,28.0,91.0,7.0,100.0,992.0,Light rain
20251009,2025-10-09,9,Thursday,41,10,October,4,2025,False,12.0,0.1,16.0,89.0,10.0,98.0,1028.0,Patchy rain possible
20251122,2025-11-22,22,Saturday,47,11,November,4,2025,True,4.0,5.0,9.0,95.0,4.0,75.0,1010.0,Fog
20250906,2025-09-06,6,Saturday,36,9,September,3,2025,True,14.0,0.1,16.0,81.0,8.0,78.0,1012.0,Patchy rain possible
20251007,2025-10-07,7,Tuesday,41,10,October,4,2025,False,11.0,1.7,13.0,86.0,9.0,84.0,1019.0,Light drizzle
20251013,2025-10-13,13,Monday,42,10,October,4,2025,False,11.0,0.0,3.0,85.0,8.0,22.0,1030.0,Partly cloudy
20260228,2026-02-28,28,Saturday,9,2,February,1,2026,True,3.0,1.0,12.0,82.0,9.0,66.0,1015.0,Light drizzle
