trip_booked_for_date_key,pickup_zone_key,total_revenue,total_trips,avg_trip_duration_min,avg_distance_km
20250831,0,300.4000000000001,19,17.8,9.14
20250822,48,1465.6000000000001,215,10.28,2.91
20250818,8,75.0,1,73.0,26.45
20250831,44,1538.4000000000012,218,7.86,2.92
20250818,20,93.4,21,8.08,0.97
20250816,47,2281.7999999999984,347,7.56,2.49
20250818,12,131.6,22,6.21,2.73
20250824,47,2130.4,268,7.89,3.28
20250820,5,1535.5999999999992,274,8.09,2.42
20250820,13,103.6,6,21.5,9.49
20250817,47,1572.3999999999999,217,8.55,2.9
20250819,0,444.4000000000001,16,37.93,18.52
20250822,47,2379.9999999999986,342,9.26,2.94
20250822,0,426.6,26,21.0,9.64
20250816,20,101.0,19,8.0,1.17
20250817,17,1124.8,188,7.71,2.12
20250818,2,1170.6,201,11.86,2.56
20250816,2,1318.0000000000005,194,9.1,2.72
20250816,11,1333.8000000000009,218,7.67,2.19
20250816,43,401.1999999999999,47,12.0,4.3
20250816,44,1771.1999999999985,261,11.17,2.84
20250815,12,4.6,1,170.0,0.0
20250816,25,1020.0000000000003,151,7.61,2.8
20250816,48,1663.2000000000003,248,8.48,2.61
20250816,45,23.8,2,16.5,6.95
20250816,17,1720.5999999999997,302,7.54,1.86
20250815,47,36.2,5,10.8,2.58
20250815,17,10.4,2,12.5,0.97
20250816,39,755.0000000000007,132,7.3,1.96
20250815,40,10.8,1,2.0,5.2
20250816,5,2279.6000000000013,303,8.62,3.25
20250816,3,184.6,20,7.17,4.72
20250816,6,3272.999999999998,534,9.03,2.14
20250816,42,1623.6000000000004,276,6.99,1.98
20250816,7,890.4000000000003,155,5.44,1.9
20250816,12,202.60000000000005,30,8.87,2.73
20250817,20,52.800000000000004,11,8.0,0.37
20250816,15,527.9999999999999,88,7.97,2.26
20250816,22,370.40000000000003,40,13.03,4.35
20250816,23,235.2,20,14.38,6.11
20250816,16,107.80000000000001,13,7.0,4.02
20250816,18,524.4,50,6.89,5.54
20250816,27,10.0,2,10.0,1.6
20250816,35,44.800000000000004,5,10.0,4.4
20250816,0,137.0,10,19.44,8.19
20250816,40,184.0,29,15.64,2.34
20250816,34,216.79999999999998,21,9.42,5.48
20250816,9,54.2,6,9.75,4.6
20250817,5,1339.2000000000007,218,9.23,2.23
20250816,8,355.23,3,81.67,64.38
20250817,28,58.0,7,8.17,4.02
20250817,11,986.5999999999998,158,7.05,2.32
20250817,15,343.3999999999999,57,8.2,2.09
20250817,48,1465.1999999999991,211,9.31,2.76
20250817,6,1957.1999999999975,319,6.53,2.13
20250817,7,529.8000000000001,93,6.48,1.8
20250817,18,394.0,39,12.13,5.08
20250817,39,608.4000000000001,81,6.03,3.13
20250817,2,1103.9999999999993,157,8.89,2.92
20250817,25,787.8000000000001,102,8.06,3.35
20250817,22,417.79999999999995,52,10.55,3.65
20250817,42,1126.6000000000004,189,6.68,2.07
20250817,44,1536.600000000001,226,8.88,2.77
20250817,43,455.6000000000001,47,10.95,4.93
20250817,46,32.0,1,18.0,19.45
20250817,12,175.2,24,8.15,3.05
20250817,34,147.4,13,11.7,6.02
20250818,16,62.99999999999999,10,12.75,3.05
20250818,5,1377.0000000000005,239,7.58,2.46
20250817,0,312.40000000000003,20,15.25,9.42
20250817,3,164.2,15,10.0,5.49
20250818,25,662.4000000000001,118,7.23,2.4
20250818,44,1485.5999999999992,220,9.56,3.26
20250818,6,1996.9999999999995,371,9.9,2.04
20250818,11,924.4000000000001,166,8.1,2.23
20250817,16,164.4,21,10.12,3.06
20250818,39,447.20000000000016,81,8.89,2.26
20250818,34,218.20000000000002,22,12.47,5.82
20250818,42,1001.0000000000008,172,7.13,2.37
20250819,3,110.20000000000002,14,5.45,4.27
20250818,17,971.5999999999996,192,9.49,1.9
20250818,7,578.8000000000004,118,6.64,1.74
20250818,48,1382.6000000000001,201,9.62,3.2
20250818,47,1413.5999999999997,258,8.57,2.21
20250818,15,421.0,72,9.46,2.45
20250818,40,120.19999999999999,17,8.58,3.43
20250818,18,261.4,35,11.75,3.92
20250818,0,521.8000000000001,29,24.96,11.83
20250818,9,50.2,6,6.33,4.86
20250819,20,74.00000000000001,17,28.7,1.06
20250818,22,194.2,28,10.45,3.44
20250818,43,437.4,53,12.34,4.6
20250819,25,689.4000000000002,119,7.76,2.6
20250818,23,137.20000000000002,12,18.63,6.64
20250818,3,176.00000000000003,21,6.3,4.26
20250820,31,84.2,4,13.33,10.31
20250819,48,1082.4000000000005,197,8.12,2.35
20250819,6,1903.799999999999,374,9.63,1.95
20250819,44,1323.5999999999997,213,9.16,2.97
20250819,2,1230.6000000000006,198,11.11,2.95
20250819,45,18.4,2,13.0,5.52
20250819,42,868.6000000000004,175,10.85,1.87
20250819,47,1708.800000000001,267,8.78,2.88
20250819,12,105.2,17,6.07,2.98
20250819,11,915.2000000000004,170,9.83,2.25
20250819,5,1215.5999999999995,222,7.42,2.37
20250819,15,380.3999999999999,72,8.5,2.15
20250819,7,570.0000000000001,118,7.0,1.76
20250819,17,981.3999999999997,190,8.03,2.08
20250820,20,105.6,23,13.86,1.14
20250820,39,594.3999999999997,98,9.48,2.73
20250819,18,231.19999999999996,31,10.27,3.99
20250819,43,382.99999999999994,52,10.6,3.99
20250819,30,20.8,1,27.0,14.0
20250819,22,308.0,31,9.75,5.72
20250819,28,75.60000000000001,11,10.33,3.61
20250819,34,85.60000000000001,10,9.0,4.83
20250819,16,51.599999999999994,10,5.17,1.97
20250819,39,519.9999999999997,96,8.16,2.25
20250819,23,218.99999999999997,19,14.64,7.26
20250820,17,1019.3999999999995,203,8.28,1.94
20250819,40,89.00000000000001,16,10.93,2.46
20250820,2,1172.799999999999,190,9.75,2.95
20250820,42,918.2000000000002,184,7.88,1.86
20250820,6,2129.199999999999,417,9.17,1.96
20250820,7,480.3999999999999,100,7.73,1.73
20250820,44,1426.2000000000003,213,10.68,3.38
20250820,43,261.6000000000001,38,10.4,3.72
20250820,11,958.4000000000005,167,8.37,2.53
20250820,15,489.2,87,7.11,2.36
20250820,25,664.7999999999996,121,7.94,2.34
20250820,47,1579.2,265,9.22,2.65
20250820,3,66.0,9,6.88,3.83
20250820,48,1107.4000000000008,202,7.88,2.33
20250820,46,85.2,4,34.0,13.43
20250820,12,163.4,26,10.87,3.03
20250820,35,67.2,8,7.88,4.83
20250820,18,176.20000000000005,24,10.59,3.98
20250820,40,79.20000000000002,15,11.64,2.26
20250820,28,31.400000000000002,4,5.0,4.4
20250820,22,120.6,17,14.27,3.69
20250820,0,235.60000000000002,18,18.76,8.34
20250820,34,55.0,8,14.14,3.66
20250821,42,1120.2,220,7.78,1.99
20250821,20,139.60000000000002,25,9.14,1.95
20250821,48,1543.2000000000003,182,8.71,4.44
20250821,15,396.40000000000003,70,7.38,2.44
20250821,25,875.2000000000004,153,8.5,2.58
20250821,2,1247.7999999999995,225,10.58,2.41
20250820,16,27.4,5,4.2,2.32
20250821,44,1471.8000000000002,237,9.03,2.99
20250821,17,1406.4000000000005,265,8.41,2.19
20250821,3,220.60000000000002,28,7.32,4.29
20250821,5,1209.6000000000006,233,8.57,2.09
20250821,47,1800.8000000000002,315,9.29,2.46
20250821,6,2317.199999999999,422,8.74,2.23
20250821,7,600.6000000000003,126,6.03,1.7
20250821,28,80.2,11,12.11,4.0
20250821,18,280.79999999999995,36,12.33,4.26
20250821,39,603.6,113,7.08,2.2
20250821,11,949.0000000000001,168,8.26,2.47
20250827,13,25.4,2,14.5,7.79
20250821,35,31.2,3,8.67,6.31
20250828,47,1666.8000000000002,291,10.0,2.45
20250821,22,203.60000000000002,31,9.68,3.28
20250821,33,120.0,1,0.0,43.08
20250824,42,1667.5999999999997,231,7.56,2.88
20250822,5,1834.8000000000013,297,10.28,2.52
20250821,8,20.0,1,24.0,11.25
20250822,6,2965.7999999999993,488,9.18,2.32
20250821,34,115.2,11,19.11,6.37
20250821,43,380.5999999999999,53,13.81,3.84
20250821,0,185.60000000000005,12,17.6,9.97
20250904,2,1394.7999999999997,213,9.4,2.69
20250821,23,143.79999999999998,15,12.77,5.7
20250823,40,143.79999999999998,22,7.9,2.57
20250821,40,120.4,20,8.0,2.76
20250822,20,119.19999999999999,23,9.33,1.38
20250821,12,190.59999999999997,31,7.9,2.92
20250822,34,282.2,18,9.27,9.41
20250822,36,14.6,1,2.0,8.85
20250822,11,1303.3999999999994,213,8.56,2.36
20250822,42,1210.4000000000003,220,8.01,2.02
20250821,27,14.4,2,4.5,3.64
20250822,17,1301.4,238,9.44,1.97
20250822,2,1312.0,210,8.44,2.67
20250822,44,1761.9999999999995,258,9.87,3.05
20250822,18,316.20000000000005,35,10.66,4.8
20250822,7,748.6000000000004,137,7.41,1.94
20250822,9,65.2,5,8.0,7.73
20250822,39,728.0000000000001,130,9.61,1.96
20250822,43,283.19999999999993,34,9.67,4.14
20250822,12,169.2,27,7.94,2.66
20250822,22,302.80000000000007,42,10.43,3.21
20250822,40,143.2,23,7.28,2.46
20250822,25,1048.0,166,10.27,2.65
20250822,15,484.20000000000005,83,7.31,2.21
20250823,20,89.60000000000002,18,14.27,1.06
20250823,2,1303.8000000000002,203,9.58,2.53
20250822,3,111.60000000000001,13,5.69,4.33
20250823,35,54.0,5,8.75,5.81
20250824,7,680.8,115,6.93,2.08
20250823,48,2100.8,278,7.78,3.19
20250826,42,952.2000000000007,185,8.02,2.02
20250823,25,1094.4,165,8.4,2.68
20250823,44,2277.4,281,10.56,3.77
20250823,9,102.4,6,8.0,10.49
20250823,5,2061.2000000000016,332,8.08,2.34
20250823,43,410.6,47,9.79,4.33
20250822,23,274.2,17,21.75,9.69
20250823,47,2616.7999999999975,389,9.15,2.57
20250823,15,551.5999999999998,93,7.08,2.08
20250823,39,814.9999999999998,134,8.98,2.13
20250823,11,1280.8000000000002,208,7.58,2.22
20250823,6,2982.199999999997,472,8.6,2.25
20250823,34,269.79999999999995,19,16.5,7.94
20250823,12,392.20000000000016,57,6.47,2.78
20250823,17,1613.6000000000004,268,8.39,2.2
20250823,42,1580.4000000000003,280,8.25,1.85
20250823,22,467.59999999999997,64,12.73,3.09
20250823,7,778.9999999999999,151,8.12,1.51
20250823,28,86.8,11,12.44,3.65
20250823,3,158.79999999999998,17,9.31,4.48
20250824,15,284.4000000000001,47,7.3,2.27
20250823,18,448.9999999999999,56,10.91,3.65
20250824,48,1747.8000000000006,242,9.18,2.91
20250824,40,133.2,19,6.08,2.93
20250823,16,50.99999999999999,7,9.5,3.06
20250824,6,2584.0000000000014,408,6.57,2.26
20250829,48,1897.8000000000013,292,8.56,2.63
20250824,17,1146.4000000000003,192,7.62,2.06
20250824,2,1132.2,173,7.42,2.6
20250824,11,1402.8000000000006,208,7.89,2.66
20250824,44,1634.2799999999995,220,8.64,3.19
20250824,3,371.6,33,9.55,5.74
20250824,22,425.3999999999999,56,10.64,3.19
20250824,13,13.6,1,49.0,7.17
20250824,39,571.3999999999999,95,7.66,2.04
20250824,5,1426.9999999999995,220,7.69,2.53
20250824,12,232.19999999999996,33,8.24,2.92
20250824,18,339.0,37,9.22,4.57
20250824,43,366.0,44,10.18,4.08
20250824,25,712.6,111,7.05,2.53
20250824,34,270.40000000000003,21,12.32,7.25
20250824,0,352.2,24,19.0,8.91
20250825,12,102.00000000000001,17,8.29,2.74
20250824,35,20.0,3,13.0,2.94
20250824,20,52.20000000000001,11,8.5,0.67
20250824,28,103.8,11,11.0,4.71
20250829,0,345.8,23,26.19,9.13
20250825,3,146.60000000000002,15,5.0,4.71
20250824,23,154.2,13,11.86,6.52
20250824,31,9.6,1,24.0,5.33
20250825,34,88.6,8,8.67,6.62
20250825,42,996.9999999999998,171,5.76,2.33
20250825,44,1212.8000000000004,189,9.2,2.98
20250825,11,842.2000000000002,153,8.5,2.19
20250825,2,791.0499999999998,141,6.86,2.42
20250825,48,832.9999999999994,143,8.42,2.43
20250825,25,536.9999999999999,94,6.68,2.49
20250825,47,1297.8,221,6.6,2.43
20250825,39,607.8000000000001,97,8.61,2.74
20250825,7,466.4000000000001,98,5.67,1.52
20250825,6,1932.0,335,8.12,2.25
20250825,5,968.2000000000004,180,6.72,2.17
20250825,18,231.39999999999998,27,5.8,4.68
20250825,17,695.1999999999999,134,8.35,2.04
20250825,43,200.8,25,10.89,4.39
20250827,20,108.2,26,9.06,0.87
20250825,0,358.8000000000001,26,19.54,8.89
20250826,43,297.79999999999995,41,14.38,3.84
20250901,42,1008.3999999999999,206,6.48,1.76
20250825,15,350.2,57,4.76,2.65
20250825,9,17.6,2,8.0,5.29
20250826,23,171.6,17,9.63,6.17
20250825,20,76.6,17,8.9,1.03
20250826,17,966.9999999999998,187,8.83,2.09
20250825,40,52.0,10,6.38,1.68
20250826,20,87.6,19,9.56,1.53
20250826,44,1276.6000000000006,210,7.55,2.88
20250826,5,1180.2000000000005,220,8.8,2.27
20250826,11,917.8000000000003,168,10.74,2.33
20250825,22,122.39999999999998,17,7.67,3.46
20250826,35,42.6,6,3.67,3.83
20250826,22,163.6,22,14.59,3.92
20250826,12,132.4,20,9.11,3.25
20250826,2,1359.5999999999997,202,8.89,3.3
20250826,6,1871.3999999999994,381,7.67,1.81
20250826,47,1631.8000000000004,259,9.23,2.85
20250826,48,938.2000000000006,174,8.62,2.25
20250826,25,642.2000000000005,112,8.82,2.58
20250826,9,38.0,5,4.5,4.19
20250826,7,639.4000000000004,130,6.74,1.81
20250827,48,875.8000000000001,175,8.96,1.95
20250826,40,80.4,12,9.33,3.48
20250826,15,399.79999999999995,75,8.04,2.24
20250826,18,251.59999999999994,35,9.44,3.87
20250826,39,471.00000000000006,88,9.74,2.18
20250827,2,1220.3999999999999,209,8.29,2.64
20250827,44,1417.6599999999994,207,9.84,3.38
20250827,12,152.00000000000003,27,11.67,2.51
20250827,5,1374.6000000000004,250,8.19,2.36
20250827,42,1097.0000000000005,225,8.13,1.81
20250827,25,844.4000000000002,146,10.0,2.62
20250827,11,1108.4000000000003,194,7.95,2.5
20250827,34,116.6,12,13.0,5.73
20250827,27,8.600000000000001,2,0.0,1.19
20250827,17,1126.8000000000004,214,9.2,2.15
20250827,47,1652.200000000001,271,9.25,2.69
20250827,7,661.6000000000001,132,8.56,1.88
20250827,6,2053.1999999999994,413,7.75,1.87
20250827,43,336.1999999999998,49,8.19,3.59
20250903,12,170.60000000000002,27,9.48,2.64
20250827,23,146.2,14,14.4,6.2
20250827,35,46.0,5,11.0,5.3
20250827,15,306.99999999999983,61,10.04,1.97
20250827,40,88.0,14,8.44,3.04
20250828,44,1401.6000000000001,232,9.15,2.88
20250827,22,151.79999999999998,26,11.25,2.68
20250827,9,153.4,6,24.17,17.17
20250827,39,525.2,97,8.38,2.27
20250915,1,140.0,1,93.0,61.5
20250828,11,1175.3999999999999,205,7.86,2.51
20250828,34,98.00000000000001,9,11.44,6.69
20250827,28,53.8,8,10.83,3.45
20250828,42,1189.9999999999989,241,7.7,1.85
20250828,48,1205.4000000000005,213,9.24,2.46
20250827,18,260.2,35,15.7,4.13
20250828,17,1143.1999999999994,229,8.45,1.93
20250828,25,854.0000000000002,152,9.02,2.48
20250828,2,1407.599999999999,223,10.39,3.0
20250828,6,2401.5999999999985,449,8.44,2.13
20250828,20,79.0,17,9.09,1.26
20250828,5,1358.6000000000001,252,11.59,2.3
20250828,7,658.5999999999999,135,8.3,1.78
20250828,15,466.99999999999994,90,7.39,2.09
20250828,18,300.6000000000001,42,10.73,3.82
20250903,13,13.6,1,16.0,8.78
20250828,43,429.4,57,11.84,4.15
20250828,16,57.39999999999999,7,17.57,4.76
20250828,39,569.0000000000001,113,7.04,1.95
20250828,12,141.99999999999997,25,9.47,2.5
20250828,0,210.00000000000003,16,13.14,8.24
20250828,22,171.39999999999998,27,14.32,3.05
20250828,23,181.6,16,16.85,7.06
20250829,15,490.6,84,9.09,2.2
20250829,47,2293.4000000000037,370,9.68,2.38
20250828,28,85.4,11,10.22,4.26
20250829,42,1370.3999999999992,250,7.71,1.96
20250828,40,63.8,13,9.18,1.91
20250829,6,3043.7999999999993,547,8.13,1.96
20250829,23,152.4,14,30.73,6.27
20250829,43,452.0,54,12.24,4.35
20250828,3,152.60000000000002,22,5.32,3.55
20250829,11,1270.4000000000012,211,8.9,2.34
20250828,14,92.0,2,29.5,31.69
20250829,25,1054.8,177,10.08,2.49
20250829,5,1570.6000000000001,275,8.91,2.21
20250829,2,1534.2000000000003,244,11.23,2.63
20250829,44,1748.6000000000004,266,8.54,2.96
20250829,17,1421.9999999999995,268,10.53,1.85
20250829,22,535.3999999999999,52,23.25,5.16
20250830,20,174.6,27,9.05,2.19
20250829,3,65.2,9,9.0,3.53
20250829,39,692.8000000000003,126,8.52,1.97
20250829,7,880.9999999999997,165,7.9,1.85
20250830,25,1200.9999999999993,194,9.24,2.34
20250829,18,400.2,50,10.86,4.01
20250829,12,304.40000000000003,46,9.54,2.92
20250830,18,605.1999999999999,71,12.23,4.21
20250829,40,101.40000000000002,16,20.82,2.57
20250829,16,123.2,17,12.77,3.44
20250829,20,98.99999999999999,22,7.41,1.04
20250829,28,21.6,3,24.33,3.54
20250902,47,1666.2000000000014,268,9.24,2.46
20250830,2,1514.1999999999998,237,9.72,2.51
20250830,47,2957.4000000000033,412,8.93,2.9
20250830,5,1856.0000000000014,304,7.6,2.29
20250829,34,161.6,15,10.33,6.09
20250830,6,3178.1999999999994,528,8.29,2.07
20250830,44,2304.7999999999993,328,8.59,2.98
20250830,11,1548.4000000000005,249,7.83,2.28
20250830,48,1845.8000000000002,294,8.59,2.34
20250830,17,1612.1999999999998,276,8.3,2.0
20250830,16,116.60000000000002,17,9.75,2.51
20250830,39,686.2,118,8.54,1.93
20250830,42,1634.8000000000015,295,6.83,1.76
20250830,15,509.0000000000001,88,8.17,2.0
20250831,20,37.800000000000004,8,5.33,0.44
20250830,7,694.3999999999995,135,5.2,1.5
20250830,12,371.4,57,9.53,2.66
20250830,43,599.8,55,13.57,6.07
20250830,22,376.00000000000006,50,9.25,3.26
20250831,6,2645.4,385,8.2,2.64
20250830,3,171.6,20,8.71,4.0
20250830,23,127.39999999999999,10,23.0,7.05
20250830,35,28.4,3,13.0,4.58
20250831,40,255.0,36,11.44,2.82
20250905,48,1494.7999999999995,237,9.96,2.27
20250830,40,346.2,47,7.89,2.9
